Sensor Type,LOF_Num_Changes,LOF_Perc_Changes,LOF_Outliers,File
X (m/s^2),102,4.24,102,Combined_Accelerometer_0.5s.csv
Y (m/s^2),152,6.31,152,Combined_Accelerometer_0.5s.csv
Z (m/s^2),110,4.57,110,Combined_Accelerometer_0.5s.csv
X (rad/s),77,3.21,77,Combined_Gyroscope_0.5s.csv
Y (rad/s),103,4.29,103,Combined_Gyroscope_0.5s.csv
Z (rad/s),157,6.54,157,Combined_Gyroscope_0.5s.csv
X (m/s^2),128,5.33,128,Combined_Linear Accelerometer_0.5s.csv
Y (m/s^2),93,3.87,93,Combined_Linear Accelerometer_0.5s.csv
Z (m/s^2),106,4.41,106,Combined_Linear Accelerometer_0.5s.csv
X (µT),146,6.08,146,Combined_Magnetometer_0.5s.csv
Y (µT),127,5.29,127,Combined_Magnetometer_0.5s.csv
Z (µT),125,5.21,125,Combined_Magnetometer_0.5s.csv
