Sensor Type,LOF_Num_Changes,LOF_Perc_Changes,File
X (m/s^2),85,7.07,Combined_Accelerometer_0.25s.csv
Y (m/s^2),65,5.4,Combined_Accelerometer_0.25s.csv
Z (m/s^2),76,6.32,Combined_Accelerometer_0.25s.csv
X (rad/s),73,6.08,Combined_Gyroscope_0.25s.csv
Y (rad/s),55,4.58,Combined_Gyroscope_0.25s.csv
Z (rad/s),69,5.75,Combined_Gyroscope_0.25s.csv
X (m/s^2),77,6.41,Combined_Linear Accelerometer_0.25s.csv
Y (m/s^2),54,4.5,Combined_Linear Accelerometer_0.25s.csv
Z (m/s^2),50,4.16,Combined_Linear Accelerometer_0.25s.csv
X (µT),71,5.91,Combined_Magnetometer_0.25s.csv
Y (µT),68,5.66,Combined_Magnetometer_0.25s.csv
Z (µT),74,6.16,Combined_Magnetometer_0.25s.csv
